Ort;ID;1701 |Jan;1702 |Feb;1703 |M�r;1704 |Apr;1705 |Mai;1706 |Jun;1707 |Jul;1708 |Aug;1709 |Sep;1710 |Okt;1711 |Nov;1712 |Dez;1801 |Jan;1802 |Feb;1803 |M�r;1804 |Apr;1805 |Mai;1806 |Jun;1807 |Jul;1808 |Aug;1809 |Sep;1810 |Okt;1811 |Nov;1812 |Dez;1901 |Jan;1902 |Feb;1903 |M�r;1904 |Apr;1905 |Mai;1906 |Jun;1907 |Jul;1908 |Aug;1909 |Sep;1910 |Okt;1911 |Nov;1912 |Dez;2001 |Jan;2002 |Feb;2003 |M�r;2004 |Apr;2005 |Mai;2006 |Jun;2007 |Jul;2008 |Aug;2009 |Sep;2010 |Okt;2011 |Nov;2012 |Dez;2101 |Jan;2102 |Feb;2103 |M�r;2104 |Apr;2105 |Mai;2106 |Jun;2107 |Jul;2108 |Aug;2109 |Sep
JC Charlottenburg-Wilmersdorf;95502;3.980506823;3.946498697;3.717632311;4.295727768;4.008463618;4.332372339;3.911544406;4.182115377;4.327117139;4.608893216;4.297724011;4.131303045;4.04726614;4.154549231;4.100867088;4.350038158;4.419913051;4.559492151;4.561418723;4.582046038;4.805582375;4.49762465;4.325197416;4.363932056;4.235794042;4.444645605;4.134083322;4.093996695;3.881521187;4.257195915;3.987099187;4.019459664;4.273423017;4.049963968;3.575784185;3.27353158;2.686743431;1.824817518;0.695910923;0.717320784;0.517764685;0.495860451;0.035355991;0.049056772;0.040716612;0.036823936;0.124292225;0.468793088;0.661082182;0.590683313;0.348868414;0.125403081;0.085790401;0.104607268;0.189621682;0.309583001;0.470264108
JC Pankow;95504;4.281562081;4.681975511;4.703696823;4.975365781;4.662572092;5.17994278;5.216963644;5.219318355;5.363657533;5.363969728;5.160757802;5.069436155;4.69341408;4.991326289;4.641081726;4.863076494;4.687313165;4.667093983;4.541580421;4.278031291;4.193949441;4.161975062;4.370916754;4.473169487;4.25130099;4.072186837;4.038682742;4.147583786;4.019430831;4.287882072;4.420924256;4.461194619;4.462948277;4.240961702;4.047661549;3.053846499;2.432784236;1.754781667;1.277913468;1.027185347;0.678687603;0.383626656;0.031686933;0.03979466;0.040309578;0.090740359;0.149303251;0.273303242;0.346712351;0.35845181;0.215835965;0.096735187;0.060591372;*;0.111972795;0.198228596;0.290933984
JC Reinickendorf;95506;5.3569094;5.463152093;5.002752323;5.33756025;5.395040463;5.752486548;5.766834962;5.93619333;5.97153568;5.823915725;5.848854348;5.757158683;5.517681432;5.495874726;5.470016207;5.92580044;5.78687127;5.453180453;5.445883885;5.63872083;5.928291278;5.783419001;5.560808208;5.331970679;5.106669502;5.064495665;5.118804202;5.139823009;4.89047195;4.928899818;4.712041885;5.103368512;4.855289057;4.80638898;4.338804698;4.051839714;3.085157789;1.697951263;0.463337501;0.082404787;0.08846426;0.08833298;0.046212364;0.053724928;0.043560331;0.132723787;0.462278107;0.85056026;1.094636647;0.751084698;0.384294674;0.029146022;0.01825084;*;0.02593361;0.101275319;0.30042592
JC Spandau;95508;4.640484863;4.860433935;4.510297552;4.859591539;4.75233047;4.971803079;4.792635185;4.902590452;5.159961892;5.27245676;5.236190952;4.945676066;4.810395452;5.178710785;5.340033083;5.614453297;5.677933916;5.542321741;5.209462475;5.16937474;5.48207223;5.867514087;5.72190928;5.472422697;5.146547442;5.444856348;5.298057158;5.612449799;5.435621957;5.847855228;5.814933423;5.942378992;5.998090432;6.126658874;5.92045692;4.980561101;4.059143535;2.71153445;2.705874232;3.081336483;2.780645376;2.092397622;0.605351171;0.352881869;0.101533151;0.096167056;0.370139754;1.007757307;1.347551776;1.375990167;0.940695297;0.604322442;0.302135549;0.428088103;0.873438424;1.260857383;1.533406353
JC Friedrichshain-Kreuzberg;96202;5.330920915;5.365392692;5.149728962;5.701893579;5.679642629;5.890858459;5.71305495;5.712035201;6.171522364;6.210923513;6.355461812;6.198879552;5.762702354;6.150283794;5.933405185;6.075032784;5.948764972;5.922268422;5.999359292;5.895950375;5.797527958;5.919226292;6.025829263;6.150031748;5.510358385;5.216890479;4.579294418;4.709090352;4.84489583;5.295101257;5.218802672;5.337078652;5.218988504;5.095277548;4.901015555;4.397209151;3.619806857;2.211310201;0.944076781;0.759694944;0.632183908;0.579783924;0.138818063;0.105714286;0.084241104;0.125216147;0.289439919;0.612818367;0.788983777;0.703337925;0.538736312;0.362286825;0.427769361;0.369702435;0.475212313;0.50102695;0.581726209
JC Mitte;96204;3.378721675;3.323543312;3.066731678;3.429754849;3.471333288;3.774508976;3.814380418;3.941680961;4.348356513;4.371410902;4.413819944;4.421074845;4.335111568;4.217730954;4.152859818;4.166666667;4.2591679;4.038852;4.285662114;4.489985163;4.721621823;4.391027437;4.387803266;4.482928493;4.532421912;4.82708659;4.655383205;4.70006895;4.409917483;4.712244858;4.655807033;4.777646596;4.762284461;4.853200706;4.471364752;3.528246189;2.170470235;0.840902133;0.218778853;0.137261725;0.128148729;0.104415841;0.03992016;0.066704784;0.087015373;0.159066808;0.57113597;1.011814363;1.241030467;1.131773567;0.85380117;0.715427502;0.625809236;0.644256042;0.767993567;0.92363282;1.22463261
JC Marzahn-Hellersdorf;96206;6.247755835;6.581589687;6.459848118;6.516941451;6.155557009;6.48543817;6.463314097;6.364842454;6.701686296;6.384274453;6.366183707;6.299645817;6.343618417;6.74600429;6.601627137;6.589551202;6.52014396;6.362961129;6.74442735;6.665466331;6.705667276;6.782159971;6.551890827;6.926275992;6.679978901;6.74900247;6.219132285;6.305097739;5.98105548;6.30278386;6.11677116;6.439244209;6.414434465;6.608428375;3.79979571;2.715897436;1.289480127;0.444317626;0.277979212;0.347683413;0.329413567;0.159993905;0.034412878;0.030684259;0.030958554;0.318471338;0.79151496;1.442250387;1.551181102;1.386502109;0.89414143;0.718362909;0.712019194;0.784618372;0.87157039;1.018474657;1.207372166
JC Lichtenberg;96208;3.934647128;4.166107608;3.997194951;3.963729706;3.801509961;3.895930174;4.123330873;3.913992945;3.794001285;3.80784606;4.060273412;4.274861878;4.387511669;4.364085498;4.311973888;4.147893379;4.28843161;4.125078523;4.429473978;4.407090896;4.637082413;4.582674903;4.604311343;4.511853174;4.303523035;4.313782353;4.383791269;4.482986698;4.304587156;4.421768707;4.420034491;4.346688593;4.165877675;4.035000573;4.020622523;3.473848556;2.859021975;1.952412374;1.467234301;1.3596669;1.079641559;0.698249006;0.064606439;0.036231884;0.073472687;0.190754039;0.506985128;0.963160064;1.153249057;1.035166287;0.732267114;0.529522704;0.555210578;0.562831077;0.707250241;0.761611766;1.016091259
Brandenburg;12;2.999094043;3.099512647;3.005238489;3.115784156;2.959787712;3.137034815;3.153984031;3.323156079;3.459869536;3.297526349;3.315139799;3.260630549;3.238537914;3.390903897;3.301632501;3.395660364;3.252353863;3.348939765;3.430037212;3.541897972;3.605346856;3.566317777;3.520256074;3.54684695;3.4121673;3.479403965;3.326462055;3.327725385;3.224137931;3.363122118;3.431556882;3.563856146;3.497667672;3.411654607;3.305645168;2.876697132;2.157280395;1.467437235;1.445597652;1.735297031;1.49042859;1.023352378;0.465676966;0.505371666;0.680649734;1.017266414;1.471859944;1.943377059;1.966944882;1.802539589;1.42727101;1.242042893;1.177569441;1.237029717;1.392642609;1.546739012;1.781615578
JC Cottbus, Stadt;3502;4.068543942;4.1452315;3.89292018;3.765853659;3.28460039;3.650856131;3.654188948;3.947629439;3.914268464;3.638746094;3.80665906;4.111282844;4.259259259;4.241803279;4.030019533;4.431360397;4.385506944;4.36980099;4.378947368;4.591513616;4.886168385;4.817975586;4.935122546;4.766146993;4.758742807;4.55906822;4.216132253;4.112044818;4.027683231;4.341833218;4.672570496;4.777107721;4.786530367;4.29477794;4.370277078;3.537706156;2.351609658;1.474665994;2.093256455;3.542132737;2.947316714;1.88122464;0.062282013;1.229919679;1.679271888;2.317967522;2.513928523;3.461589668;3.646858192;3.24750938;2.47199691;2.077382498;2.045602606;2.292792199;2.591995702;2.920402065;2.926896934
