Ort	ID	1910	1911	1912	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2101	2102	2103	2104	2105	2106	2107	2108	2109
Sachsen-Anhalt	15	3,518055311	3,38849095	3,04617703	2,35521291	1,721846693	1,208263237	1,270850438	0,977575724	0,682825233	0,291569948	0,456212861	0,746023759	1,105921913	1,451019574	1,658699227	1,659841783	1,487500655	1,182341708	0,913773426	0,71784088	0,695432637	0,799086758	0,957682691	1,322440766
Th‹¨«ringen	16	3,217155169	3,01051868	2,710681389	2,129509904	1,508933573	1,285011206	1,479367579	1,208264356	0,864736643	0,320698118	0,329249025	0,508470737	0,854790559	1,228715627	1,468166037	1,451034869	1,332703649	1,096463647	0,955318708	0,827443744	0,786291033	0,869034366	1,117162577	1,461615574
																									
Schleswig-Holstein	1	3,012099583	2,903678661	2,625243444	2,110176601	1,517423465	1,108788384	0,953593161	0,674934559	0,435543588	0,168082095	0,131881486	0,21339531	0,485667074	0,838544322	1,159353911	1,213368189	1,119618758	0,89229958	0,723733292	0,62327843	0,613824583	0,680143723	0,738812427	0,933400416
JC Stormarn	11102	3,340440654	2,963385098	2,379256304	1,748152359	0,98557349	0,683403068	0,436739015	0,156372166	0,077871512	0,039174719	0,105652404	0,134716422	0,110957004	0,139198218	0,498960499	0,732700136	0,873655914	0,872249061	0,807428341	0,707579262	0,746578183	0,876201244	0,76215128	0,925110132
JC Herzogtum Lauenburg	11116	2,82115869	2,760030667	2,624839949	2,327948098	2,311031665	1,945672773	1,675636008	0,895450145	0,387362305	0,109729334	0,210058075	0,363090021	0,737913486	1,136073526	1,641828745	1,864975755	1,712877388	1,330079317	1,072386059	0,935601458	0,942587832	1,104766634	1,126154625	1,368286445
JC Pinneberg	11502	3,503628234	3,5571661	2,797720376	2,002660361	0,905677049	0,387402253	0,484178942	0,535726244	0,467726848	0,161877782	0,061775002	0,062853551	0,21906579	0,567226891	0,941488249	1,118003954	0,956228956	0,695280118	0,549413735	0,391653724	0,454730555	0,448833034	0,547368421	0,615624115
JC Segeberg	11522	2,941176471	2,628523171	2,315744951	1,948739674	1,588478238	1,571059432	1,575117137	1,088555457	0,606831751	0,019588639	*	0,272865083	0,709001233	1,220773846	1,564929008	1,462167689	1,457085828	1,168201168	0,975804043	0,93625498	1,039459078	1,084066271	1,264641858	1,417239556
JC Flensburg, Stadt	11902	2,95634671	2,893606267	2,692405385	2,61503646	2,277562258	2,050198807	1,521687036	0,967095176	0,564307548	0,20170859	0,132243328	0,379529873	0,786713287	1,181646763	1,577366049	1,629428466	1,403979978	1,070169038	0,794718181	0,799114827	0,648217402	0,837138508	1,010755475	1,501893692
JC Schleswig-Flensburg	11904	3,452890792	3,597998106	3,382749326	3,158893709	2,629427793	2,913142704	2,96325563	2,244683644	1,151983244	0,105820106	0,107671602	0,497581202	1,538678713	2,68296109	3,305322129	3,119846069	2,841990753	2,28914021	2,033246325	1,623196448	1,520056298	1,73035328	1,889279438	2,459749553
JC Nordfriesland	11916	1,562243052	1,651100734	1,618284952	1,488792238	1,518438178	1,36341503	1,371721435	1,110944303	0,639951242	0,327613105	0,127877238	0,341352406	1,145745577	1,73448966	1,7671346	1,348531064	0,890868597	0,604710376	0,240307594	0,358189515	0,336190956	0,471698113	0,303571429	0,451182097
JC Dithmarschen	12702	5,102182678	4,910464466	5,135740274	4,016736402	3,454062369	2,917991979	2,763920723	1,761879338	0,913978495	0,082315818	0,294117647	0,517167074	0,994297412	1,543839208	2,448861999	2,568468852	2,30888357	1,742403122	1,423984364	1,132823563	1,23350545	1,282424949	1,513802315	1,569100785
JC Steinburg	12712	4,425465839	4,451410658	3,920012696	2,843074968	1,453441942	0,507694749	0,326086957	0,122963418	0,1069192	0,01549907	0,077954475	0,127287192	0,532945736	1,167504459	1,542207792	1,631738922	1,298907017	0,951022349	0,814436282	0,935182199	0,864177401	0,98944591	0,945147679	1,135386203
JC Kiel, Landeshauptstadt	13102	2,366209642	2,308931448	2,144977066	1,607414704	0,949225396	0,489824999	0,454054054	0,505439904	0,659190138	0,489312387	0,332944178	0,158151386	0,250055816	0,478554497	0,705776579	0,766369381	0,75031078	0,63711176	0,501820766	0,343137255	0,305453239	0,304933552	0,379506641	0,679538851
JC Pl‹¨«n	13106	1,763628035	1,771744133	1,978375891	1,55180283	1,007095445	0,399911131	0,318336163	0,270776921	0,188245137	0,275657337	0,150246834	0,309666003	0,455580866	0,814479638	1,126126126	1,213324509	1,351940689	1,089087345	0,704380365	0,559284116	0,610859729	0,789412584	0,879277567	0,821057716
JC L‹¨«beck, Hansestadt	13502	2,245552639	2,037221863	1,890904807	1,423194542	0,830339792	0,273017717	0,101288616	0,061264272	0,033433634	0,045039973	*	0,035085668	0,041728763	0,131163179	0,277728535	0,421151146	0,503035559	0,489293115	0,411546487	0,362361192	0,295980584	0,338000966	0,240354986	0,339558574
JC Ostholstein	13506	2,141157811	2,028264852	1,796802748	1,501778422	1,610986399	1,437823834	1,34936212	0,888510224	0,492428906	0,153688525	0,092178035	0,366897676	0,661319826	0,902527076	0,971006565	0,667200427	0,487290926	0,392516028	0,530292987	0,528598536	0,493653032	0,423543158	0,510204082	0,71942446
JC Neum‹¨«nster, Stadt	13902	4,713966123	4,033559213	3,33011583	2,576412226	1,5625	0,534255185	0,030534351	0,030390518	0,030413625	0,061766523	0,062686099	0,094592464	0,398596939	0,751519028	1,025805418	1,159329469	1,043288695	0,757927301	0,545341228	0,560922406	0,516755402	0,478545223	0,615185365	0,791687284
JC Rendsburg-Eckernf‹¨«rde	13912	3,448639528	3,476220943	3,052529393	2,602029799	1,846851712	1,397121084	0,851194749	0,424929178	0,131074813	0,050725373	0,041254125	0,073855244	0,151515152	0,282179292	0,490837696	0,674951789	0,709820956	0,56299129	0,403439856	0,268240343	0,316801398	0,425008388	0,512937422	0,567984236
Hamburg	2	3,505724945	3,363478992	3,024054425	2,631175021	1,869580998	1,330520594	1,182504311	0,904506524	0,606235566	0,084048226	0,076026171	0,137017924	0,308536428	0,553418576	0,721732157	0,731299624	0,633717293	0,551587273	0,472846066	0,43871897	0,401895285	0,434900379	0,461722232	0,571801993
JC Hamburg, Freie und Hansestadt	12302	3,505724945	3,363478992	3,024054425	2,631175021	1,869580998	1,330520594	1,182504311	0,904506524	0,606235566	0,084048226	0,076026171	0,137017924	0,308536428	0,553418576	0,721732157	0,731299624	0,633717293	0,551587273	0,472846066	0,43871897	0,401895285	0,434900379	0,461722232	0,571801993
Niedersachsen	3	3,015072655	2,796296296	2,513649831	1,96502442	1,376234279	1,046341031	1,074125003	0,900140863	0,635297724	0,289702939	0,219401103	0,274907725	0,43573984	0,690738259	0,912505254	0,960350699	0,920575512	0,778583421	0,711678832	0,675625333	0,705093265	0,751415197	0,833116592	0,957915235
JC Braunschweig, Stadt	21102	4,278622646	4,254815283	3,751399776	2,696647195	1,104	1,080526855	2,267711742	2,26833259	1,770433756	0,229222124	0,037091988	0,15015015	0,608272506	1,179173047	1,662689554	1,855936716	1,601208459	1,071723001	0,652320612	0,489494691	0,448600973	0,414523682	0,396856276	0,465152949
JC Salzgitter, Stadt	21104	3,462680004	3,257508834	3,208674486	2,228320527	1,075977163	0,196807347	0,171729097	0,116648993	0,010616838	0,010714668	0	0	*	0,156933079	0,495049505	0,716524854	0,995244941	0,860072775	0,740822645	0,398671096	0,591056095	0,531734359	0,754716981	0,841207652
