;;;;;;;Grundsicherung für Arbeitsuchende nach dem SGB II
;;;;;;;
1. Leistungskürzung durch Sanktion gegenüber erwerbsfähigen Leistungsberechtigten (ELB);;;;;;;
Deutschland, West/Ost, Länder und Jobcenter;;;;;;;
Berichtsmonat September 2021;;;;;;;
;;;;;;;
Lesehilfe:  Die Sanktionen bewirkten bundesweit bei knapp 34.000 ELB mit mindestens einer Sanktion im Berichtsmonat September 2021;;;;;;;
eine durchschnittliche Kürzung des laufenden Leistungsanspruchs um 16%. Dies entspricht einer durchschnittlichen Kürzung um 99 Euro. ;;;;;;;
;;;;;;;
Regionen;Träger-nummer;Insgesamt;;;dar. unter 25 Jahre;;
;;Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)";Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)"
;;;;;;;
JC Bad Tölz-Wolfratshausen;85502;33;16,8;120,66;7;17;105,58
JC Miesbach;85504;21;13,2;87,27;-;0;0
JC Rosenheim, Stadt;85506;60;15,9;106,12;8;19,6;85,92
JC Rosenheim;85508;35;15,4;102,17;*;11,5;77,31
JC Berchtesgadener Land;85902;5;14,1;110,62;*;17,4;107,1
JC Traunstein;85904;20;13,8;87,83;*;27,7;131,55
JC Altötting;85906;33;18,5;124,18;-;0;0
JC Mühldorf am Inn;85908;38;17,6;89,33;*;20,5;56,6
JC Garmisch-Partenkirchen;86302;30;12,7;86,46;5;25,2;95,98
JC Landsberg am Lech;86304;19;21,3;126,72;*;30;127,05
JC Weilheim-Schongau;86306;12;18,3;103,48;*;100;28,95
JC Fürstenfeldbruck;86308;36;13,1;99,95;5;23,1;90,05
JC Starnberg;86310;20;14,7;99,78;8;15,8;93,41
Saarland;10;614;14,1;92,9;151;18,2;90,53
JC Regionalverband Saarbrücken;55502;443;14;94,88;101;19,9;103,39
JC Neunkirchen;55514;63;14,6;92,23;23;16,4;84,11
JC St. Wendel;55516;39;11,6;71,57;*;13,5;68,4
JC Saarpfalz-Kreis;55518;30;14,2;65,75;16;5,7;18,41
JC Merzig-Wadern;55520;34;17,7;112;*;28,9;116
JC Saarlouis;55522;5;17,1;125,76;*;17;120,45
Berlin;11;2.690;16,5;111,05;498;19,7;96,58
JC Neukölln;92202;180;18,3;110,57;53;21,2;91,48
JC Treptow-Köpenick;92204;137;15,1;106,48;46;19,9;107,27
JC Steglitz-Zehlendorf;92208;237;16,1;116,84;21;15,4;108,07
JC Tempelhof-Schöneberg;92210;106;16,1;100,32;28;18,9;87,44
JC Charlottenburg-Wilmersdorf;95502;99;14,9;105,57;13;21,2;104,97
JC Pankow;95504;68;13,7;109,77;4;22,5;178,4
JC Reinickendorf;95506;79;18,6;124,58;7;17,1;114,73
JC Spandau;95508;434;19,3;126,63;60;21,8;112,04
JC Friedrichshain-Kreuzberg;96202;184;16,4;108,52;51;22,7;107,29
JC Mitte;96204;595;17,3;111,09;157;20,9;89,46
JC Marzahn-Hellersdorf;96206;302;11,5;84,21;21;15,3;97,33
JC Lichtenberg;96208;269;17,8;117,83;37;13;65,67
Brandenburg;12;1.925;15,3;96,99;412;16,7;90,87
JC Cottbus, Stadt;3502;211;16,7;105,77;40;21;111,67
JC Elbe-Elster;3504;121;14,2;91,53;23;16,2;92,75
JC Oberspreewald-Lausitz;3506;143;15,4;97,77;50;16,5;89,93
JC Dahme-Spreewald;3510;124;21,5;126,62;17;19,6;114,39
JC Spree-Neiße;3538;88;15;95,28;20;16;87,5
JC Barnim;3602;25;16,7;97,14;*;16,7;73,4
JC Uckermark;3604;101;13,2;84,43;25;14,9;81,11
JC Frankfurt (Oder), Stadt;3702;113;12,1;78,73;*;14;77,34
JC Oder-Spree;3706;41;13,4;91,02;*;17;108,13
JC Märkisch-Oderland;3708;180;14,4;91,63;42;18,5;106,62
JC Ostprignitz-Ruppin;3802;117;18,3;115,03;9;23,5;109,48
JC Prignitz;3804;99;13;87,36;14;12,1;60,01
JC Oberhavel;3806;76;16,3;98,03;20;16,7;89,87
JC Havelland;3846;105;15,4;99,76;14;13,8;86,34
JC Brandenburg an der Havel, Stadt;3902;66;15,9;98,76;*;14,9;94,33
JC Potsdam, Stadt;3904;98;15;92,13;16;15,8;63,09
JC Teltow-Fläming;3908;167;14;90,04;*;17,3;93,52
JC Potsdam-Mittelmark;3942;50;13,8;90,83;8;10,5;50,39
Mecklenburg-Vorpommern;13;816;14,6;95,9;178;15,5;93,68
JC Vorpommern-Greifswald Nord;3002;73;14,5;95,76;10;8,3;57,08
JC Vorpommern-Greifswald Süd;3006;47;13,9;88,5;*;13,8;84,24
JC Mecklenburgische Seenplatte Süd;3102;146;13,8;92,61;27;15,5;98,17
JC Mecklenburgische Seenplatte Nord;3122;63;15,7;96,56;20;14,6;81,89
JC Rostock, Hansestadt;3202;44;16,6;103,44;17;15,6;87,35
JC Landkreis Rostock;3208;73;12,9;83,72;13;17,4;96,78
JC Schwerin, Landeshauptstadt;3302;94;16,9;116,72;27;18,1;115,18
JC Nordwestmecklenburg;3304;55;17,7;113,98;*;18,9;116,4
JC Ludwigslust-Parchim;3324;80;17,9;107,85;22;22,6;122,21
JC Vorpommern-Rügen;3444;141;11,2;77,78;23;9,3;58,76
Sachsen;14;2.356;14,7;93,49;596;15,8;90,66
JC Erzgebirgskreis;7146;166;14,7;88,54;27;15,5;78,8
JC Bautzen;7202;164;15,1;93,51;25;15,8;85,82
JC Görlitz;7208;178;13,6;88,65;40;13,7;82,14
JC Chemnitz, Stadt;7302;141;19,5;121,81;57;19,6;112,12
JC Dresden, Stadt;7402;715;13,7;92,4;202;14,3;88,94
JC Leipzig, Stadt;7502;287;15,9;95,03;114;17;89,42
JC Nordsachsen;7602;15;19,5;110,45;*;23,5;104,54
JC Leipzig;7610;170;13,2;83,85;15;14,5;83,26
JC Sächsische Schweiz- Osterzgebirge;7702;9;21,5;104,64;*;24,2;111,01
JC Vogtlandkreis;7804;108;14,2;85,11;15;20,4;105,13
JC Meißen;7904;111;14,1;89,15;*;16,3;85,66
JC Mittelsachsen;8002;168;11,9;76,69;35;11,9;73,76
JC Zwickau;9202;124;18,8;121,93;25;19,7;112,04
Sachsen-Anhalt;15;1.656;14,7;92,04;321;14,9;80,19
JC Salzlandkreis;4102;244;15;90,63;55;9,2;44,51
JC Dessau-Roßlau;4202;60;11;76,16;12;13,1;80,28
JC Anhalt-Bitterfeld;4208;142;17,2;106,43;43;17,2;94,17
JC Wittenberg;4214;35;17,1;93,39;5;17,1;105,84
JC Harz;4306;103;10,5;66,99;*;12,3;62,1
JC Halle (Saale), Stadt;4402;85;15;98,7;11;15,2;77,05
JC Saalekreis;4412;192;16,5;105,47;23;15,9;95,57
JC Magdeburg, Landeshauptstadt;4502;174;11,9;72,82;37;13,7;69,35
JC Jerichower Land;4506;73;16,5;103,7;*;19,3;108,94
JC Börde;4514;168;15,2;92,74;25;20,8;99,85
JC Burgenlandkreis;4648;146;13,3;89,07;25;18,1;98,11
JC Mansfeld-Südharz;4704;41;16,9;99,68;14;15,2;81,99
JC Stendal;4802;96;15,7;102,59;*;11,4;73,13
JC Altmarkkreis Salzwedel;4846;97;14,9;93,28;23;15,8;99,86
Thüringen;16;1.181;16,3;98,21;252;17,5;89,58
JC Erfurt, Stadt;9302;167;20,3;119,35;38;24,7;107,33
JC Ilm-Kreis;9304;31;13,6;87,66;7;9,2;53,76
JC Sömmerda;9308;28;16;85,68;6;15,5;66,17
JC Weimar, Stadt;9310;31;16,3;115,8;*;16;128,23
JC Weimarer Land;9312;26;20;117,27;*;30;133,8
JC Gera, Stadt;9402;135;15,5;93,97;29;18,2;83,04
JC Saale-Orla-Kreis;9414;7;14,4;95,32;*;24,3;133,8
JC Altenburger Land;9418;43;12,3;80,28;*;17,6;107,77
JC Greiz;9446;50;17,3;105,53;5;17,5;90,98
JC Gotha;9502;116;14,4;85,04;35;14,7;80,79
JC Unstrut-Hainich-Kreis;9506;99;14,3;83,75;41;15,4;77,25
JC Jena, Stadt;9602;40;14,9;92,15;*;13,5;73,23
JC Saale-Holzland-Kreis;9606;18;14;93,16;*;21,8;133,8
JC Saalfeld-Rudolstadt;9614;58;13,6;88,65;*;14,5;62,4
JC Nordhausen;9702;78;20,3;115,4;*;22,2;99,14
JC Eichsfeld;9704;21;11,7;76;*;10,8;89,2
JC Kyffhäuserkreis;9708;68;18,9;108,83;*;21,5;131,99
JC Suhl, Stadt;9802;14;12;61,18;*;10,1;50,94
JC Hildburghausen;9804;12;14,4;89,19;-;0;0
JC Sonneberg;9806;47;15,9;86,49;*;16,6;74,89
JC Wartburgkreis;9810;34;19,3;113,98;*;28;138,25
JC Eisenach, Stadt;9818;41;14,8;99,48;7;13,9;83,46
JC Schmalkalden-Meiningen;9840;17;16,4;95,22;6;13,7;81,03
;;;;;;;
*) Aus Datenschutzgründen und Gründen der statistischen Geheimhaltung werden Zahlenwerte von 1 oder 2 und Daten, aus denen rechnerisch auf einen solchen Zahlenwert geschlossen werden kann, anonymisiert.;;;;;;;
1) Anteil der Kürzung durch die aktuell wirksamen Sanktionen einer Person an dem Leistungsanspruch, den die Person ohne Sanktionierung gehabt hätte;;;;;;;
Fehlende Werte bei einzelnen Kreisen können wegen unplausibler bzw. unvollständiger Datenlage auftreten.;;;;;;;
